OBJECTID,X,Y,DEM,最湿温度,最湿湿度,最干温度,最干湿度,气温较差,暖季温度,暖季湿度,年平均雨,冷季温度,冷季湿度,年平均气
28,118.526001,34.6506,90,26.56334496,83.30021667,12.96543407,66.59462738,8.608957291,25.12373352,80.7298584,918.3002319,3.78124547,67.86791992,0
29,119.350998,34.361599,1,26.62468719,83.65653992,11.59502792,67.83150482,8.432735443,25.1671505,81.25797272,949.4185181,3.80424118,69.12420654,14.56773472
30,119.181,34.424702,2,26.57964134,83.69221497,12.34659767,67.21196747,8.439239502,25.07357025,81.12095642,935.2457275,3.621626854,68.3287735,14.53228474
31,119.010002,34.487598,3,26.56579399,83.69686127,12.78432083,66.83631134,8.429750443,25.02713013,81.02722931,928.4573364,3.523889303,67.86997223,14.49929142
32,118.837997,34.5504,19,26.56253433,83.57845306,13.07295513,66.63243866,8.462041855,25.03697014,80.89722443,924.7721558,3.54997921,67.68759918,14.5279007
33,119.691002,34.235001,0,26.67045403,83.89787292,8.987046242,69.69954681,8.375991821,25.31740952,81.88346863,982.2426147,4.106750965,71.28868103,14.60011959
34,120.247002,34.177799,-2,26.61933517,84.43647003,5.986616135,71.25114441,8.378458023,25.31518364,82.69004059,996.4042358,4.119296074,72.95846558,14.63062668
35,119.860001,34.171501,4,26.65312576,84.12613678,7.562121391,70.48863983,8.376365662,25.33283234,82.2579422,990.8916626,4.14548254,72.15506744,14.6329155
36,120.334,34.085098,-1,26.5998764,84.6287384,5.313456059,71.64160919,8.374067307,25.30099297,82.94087219,1000.106262,4.091520309,73.37107086,14.6615696
37,120.028,34.107799,2,26.61499786,84.40013885,6.179944992,71.14163208,8.382983208,25.3142128,82.63624573,995.2949829,4.115866184,72.84053802,14.62877464
38,119.521004,34.298302,3,26.64823341,83.7117157,10.49678326,68.63006592,8.439918518,25.24543953,81.50492859,962.9285278,3.966900826,70.07701111,14.56077003
39,120.339996,33.972198,2,26.5577755,84.79033661,4.581439972,71.83898926,8.394184113,25.26223183,83.12091827,997.7614746,4.018860817,73.54673004,14.68650246
40,120.195999,34.044102,0,26.57581139,84.64213562,5.102678299,71.58008575,8.393864632,25.28016472,82.93790436,996.2706909,4.05368185,73.28146362,14.64440536
41,118.032997,34.622398,28,26.56173515,82.3964386,13.54014683,65.59947968,8.968359947,25.29101181,79.96078491,894.0463257,4.22824049,67.37102509,14.64463043
42,117.928001,34.650799,33,26.55070877,82.26491547,13.70290184,65.30821991,9.023253441,25.29715538,79.8275528,887.7019653,4.259393692,67.1530304,0
43,118.466003,34.526798,55,26.58042526,83.09076691,12.90595436,66.68244934,8.686388016,25.20059204,80.62350464,919.0993042,3.958859682,68.11752319,14.60102654
44,118.763001,34.4081,12,26.60742188,83.36624146,12.56284237,67.18608093,8.539505005,25.17246056,80.91177368,935.0285034,3.846453905,68.50415802,14.5579567
45,118.591003,34.470501,33,26.58104515,83.25710297,12.76597786,66.84620667,8.623461723,25.17050552,80.76167297,923.5465088,3.88027668,68.19785309,14.56611919
46,119.105003,34.283001,5,26.62510681,83.53130341,11.75929642,67.85082245,8.496506691,25.20314407,81.18192291,947.8449097,3.900372267,69.20418549,14.56064224
47,118.933998,34.3456,1,26.61338234,83.48158264,12.27871037,67.41994476,8.504309654,25.16610909,81.04073334,939.8026733,3.825606346,68.71177673,14.58779049
48,119.276001,34.2202,2,26.66230202,83.556427,11.04427624,68.40106201,8.460430145,25.27191353,81.33863068,961.6842041,4.023276329,69.88314819,14.59493446
49,119.445,34.157299,1,26.67545319,83.67327881,9.996940613,69.10266113,8.451607704,25.31812859,81.60022736,972.8379517,4.117680073,70.67974091,14.63285351
50,119.782997,34.031101,6,26.65742111,84.18740082,7.063334465,70.80310822,8.378423691,25.35017776,82.38491821,995.4318848,4.182891369,72.51261902,14.65307045
51,119.952004,33.9678,2,26.59971428,84.52770233,5.547886848,71.42771912,8.389955521,25.30307579,82.80934143,997.0107422,4.096793175,73.13830566,14.68482876
52,119.614998,34.094299,2,26.68562126,83.90918732,8.519085884,70.08159637,8.378365517,25.36171532,81.98937225,989.5687256,4.19863987,71.75252533,14.66454792
53,120.119003,33.9044,-2,26.5430584,84.85063934,4.322818279,71.87943268,8.405156136,25.24324989,83.18131256,996.1189575,3.982377529,73.57409668,14.69814014
54,120.286003,33.8409,0,26.50867844,84.97016144,3.82069397,71.98358154,8.420393944,25.20962524,83.30457306,993.4779053,3.918508291,73.65677643,14.70398426
55,120.440002,33.771599,0,26.53084946,84.88013458,4.14457655,71.99071503,8.394897461,25.24716568,83.22389984,997.7357788,3.988866329,73.68817902,14.77809143
56,120.436997,33.883701,-1,26.53701019,84.83604431,4.328151703,71.95582581,8.385299683,25.26075363,83.17661285,998.9315796,4.013491154,73.66118622,14.74210739
57,120.540001,33.689899,0,26.57623291,84.72138214,4.657712936,72.08686066,8.334095001,25.32534409,83.09859467,1007.701416,4.136039734,73.82981873,14.81476498
58,116.626999,34.9202,36,26.37362099,82.23538208,14.74473095,64.49004364,9.453532219,25.16647148,79.82662201,822.394043,4.303635597,66.29837799,0
59,116.761002,34.895901,37,26.38672256,82.20166779,14.49739838,64.39031982,9.417179108,25.177845,79.77601624,828.4098511,4.278997421,66.25395966,14.68764782
60,117.023003,34.7775,32,26.42791748,81.89479065,14.59871387,63.87967682,9.340013504,25.23535156,79.42649078,841.8465576,4.303398132,65.96317291,0
61,116.911003,34.8447,35,26.41165733,82.04786682,14.52518177,64.16970062,9.371827126,25.21066093,79.60228729,836.380127,4.294096947,66.13840485,14.67415047
62,118.151001,34.548,32,26.57623672,82.57527924,13.35415554,66.06680298,8.879144669,25.2828846,80.179245,904.2280884,4.179460526,67.77111816,14.64157772
63,117.692001,34.5397,26,26.5167675,81.83834839,14.25588894,64.29676056,9.156661034,25.31565857,79.37866211,871.8099365,4.33076334,66.40701294,14.72472954
64,117.846001,34.567101,24,26.54288864,82.10281372,13.88238907,65.01087189,9.070732117,25.31311417,79.66872406,883.1689453,4.301356792,66.94895172,14.65066814
65,117.997002,34.512699,29,26.56500435,82.29485321,13.61528301,65.51046753,8.994335175,25.31194687,79.8760376,893.1030884,4.273421764,67.3381958,14.67196083
66,118.515999,34.327599,23,26.60798645,83.04013824,12.664505,67.04792023,8.700772285,25.26579666,80.67465973,927.1033936,4.095130444,68.58535004,14.65036106
67,118.136002,34.439201,35,26.58515549,82.5039978,13.36796665,66.09765625,8.895608902,25.3088932,80.13692474,905.3881226,4.23277235,67.84681702,14.69048405
68,118.688003,34.265598,7,26.64815331,83.15859222,12.37143993,67.52516174,8.604352951,25.28082657,80.86521912,942.3518677,4.08202219,69.0443573,14.6468792
69,118.348,34.373001,31,26.6018734,82.81716156,12.96125889,66.68932343,8.780413628,25.2873497,80.4551239,918.6260376,4.158463478,68.30899048,14.65836143
70,119.029999,34.141201,2,26.66426086,83.40409851,11.43995476,68.30128479,8.534752846,25.30249214,81.21308136,957.8900146,4.112740517,69.83074951,14.65066051
71,118.859001,34.203499,5,26.65649986,83.29194641,11.99352932,67.86357117,8.563417435,25.28313637,81.03145599,949.4799805,4.078374386,69.36829376,14.64685154
72,119.199997,34.078701,6,26.67449188,83.51499176,10.70878696,68.81718445,8.51379776,25.32920647,81.41751099,966.8522339,4.164041519,70.39305115,14.68455029
73,119.370003,34.016201,4,26.70409584,83.61358643,9.790535927,69.40287781,8.457909584,25.37914085,81.6332016,980.6955566,4.243026733,71.07978058,14.68683529
74,119.539002,33.953499,3,26.7272625,83.82204437,8.720929146,70.28945923,8.405127525,25.41946411,81.98482513,996.8065796,4.296967983,72.01882172,14.71279144
75,119.876,33.827702,-1,26.61236572,84.49443817,5.579618454,71.48057556,8.385439873,25.32221222,82.79454041,999.4385986,4.134582996,73.21007538,14.70739651
76,120.042999,33.764599,-2,26.55137825,84.8360672,4.352327347,71.89964294,8.402555466,25.2512188,83.1738205,997.1522217,3.99802351,73.60071564,14.7447052
77,119.708,33.890598,-1,26.67330551,84.14628601,7.040364265,70.91772461,8.374298096,25.38063622,82.37986755,999.4558716,4.243594646,72.66512299,14.7234726
78,120.376999,33.6381,0,26.53744888,84.84662628,4.25001049,72.02445984,8.385828018,25.26423264,83.201828,999.9481812,4.022356033,73.73279572,14.84132004
79,120.535004,33.571602,0,26.61258507,84.61216736,4.996564865,72.21879578,8.294115067,25.38535881,83.02841187,1015.749084,4.252841473,73.99858856,14.86147213
80,120.209999,33.701401,0,26.50963402,84.96073151,3.844332695,71.99602509,8.416055679,25.21511841,83.2976532,994.2394409,3.928494692,73.67223358,14.78196907
81,120.635002,33.4953,0,26.66779137,84.41268921,5.534263134,72.37147522,8.228391647,25.48549652,82.87458801,1029.565674,4.444597244,74.20336914,14.93274498
82,116.872002,34.733101,34,26.40184593,81.96738434,14.87619305,63.91718292,9.400763512,25.20663834,79.51306915,830.2260742,4.302226543,65.93900299,14.73069859
83,116.522003,34.842098,38,26.33089638,82.36497498,14.83132648,64.43655396,9.522881508,25.11154747,79.96646881,808.7731934,4.258944035,66.19929504,14.70278168
84,116.411003,34.854301,39,26.3179512,82.42724609,14.82962894,64.4940033,9.544563293,25.09541512,80.03410339,804.8702393,4.249687195,66.22042847,14.71594238
85,116.695,34.793201,39,26.35980988,82.19498444,14.85289001,64.23876953,9.47273922,25.15137672,79.7771759,817.9708252,4.281396866,66.10287476,14.7177906
86,117.024002,34.665001,35,26.42144203,81.71965027,14.81139374,63.36558533,9.346066475,25.24097443,79.21935272,840.5270996,4.299889565,65.5990448,14.71272373
87,117.172997,34.567001,0,0,0,0,0,0,0,0,0,0,0,0
88,117.372002,34.520801,82,26.45414925,81.43921661,14.93183136,62.80978012,9.27543354,25.28845978,78.89437103,852.3710327,4.315341949,65.27859497,14.7439537
89,117.922997,34.3689,27,26.56798935,82.09046173,13.80744076,65.26564789,9.048469543,25.34443092,79.69130707,889.5232544,4.345478535,67.19277191,14.74857616
90,118.097,34.307598,24,26.59770775,82.36148834,13.46454334,66.05857849,8.93265152,25.34714699,80.0309906,905.1271362,4.313720703,67.87954712,14.71921635
91,117.584,34.454201,50,26.49485588,81.6147995,14.58034992,63.62939835,9.211702347,25.31455421,79.12223053,863.776062,4.339263439,65.90512085,14.74924183
92,117.75,34.43,25,26.53336716,81.83383942,14.21520615,64.42571259,9.141921043,25.32983017,79.38784027,875.0975952,4.34689188,66.52080536,14.72354317
93,118.612999,34.123001,13,26.68380165,82.9888916,12.32050991,67.80662537,8.651846886,25.37340927,80.82390594,949.5032959,4.280817986,69.49001312,14.70780087
94,118.442001,34.1847,26,26.67212296,82.80094147,12.69151497,67.36605072,8.714047432,25.37130547,80.60201263,939.3062744,4.288543701,69.08001709,14.7389822
95,118.785004,34.061199,9,26.69168282,83.15110016,11.88840675,68.21635437,8.601703644,25.37816048,81.02706146,958.553772,4.281795025,69.88790131,14.70821095
96,118.268997,34.246201,45,26.61795044,82.64350891,13.05150032,66.69226837,8.832988739,25.34197617,80.34194183,918.8547974,4.27937603,68.41731262,14.74221897
97,118.955002,33.999199,7,26.70133018,83.29665375,11.31783962,68.66559601,8.56030941,25.39027405,81.23243713,967.6418457,4.299390793,70.34584045,14.74222565
98,119.294998,33.874901,5,26.77352333,83.53270721,9.927289963,69.88774872,8.417120934,25.47973824,81.66759491,998.1820679,4.414093018,71.67311096,14.76449966
99,119.125,33.9371,6,26.70776367,83.42990875,10.61899471,69.13388824,8.527274132,25.40466118,81.43711853,976.0296631,4.322564602,70.8334198,14.71461964
100,119.463997,33.8125,6,26.76278114,83.72346497,8.869980812,70.41416168,8.399683952,25.47511673,81.93769073,1003.424622,4.406430244,72.21099091,14.79829693
101,119.633003,33.75,1,26.72714806,83.97083282,7.660408497,70.93540955,8.389706612,25.44760323,82.25376892,1006.181335,4.35696888,72.72663116,14.777915
102,119.968002,33.6246,1,26.62527847,84.56990051,5.31154108,71.81937408,8.364591599,25.3436718,82.9334259,1006.289978,4.175640106,73.583992,14.83568764
103,119.801003,33.687401,-3,26.67626953,84.34583282,6.242839336,71.54562378,8.346786499,25.39773178,82.68801117,1009.484192,4.275919437,73.34951782,14.78692055
104,120.135002,33.561699,3,26.58084869,84.7095108,4.718440056,72.02991486,8.358867645,25.31781769,83.08374786,1005.923767,4.123988628,73.77069092,14.8439188
105,120.467003,33.4356,2,26.66431618,84.48740387,5.384412289,72.49352264,8.247684479,25.46557236,82.9773941,1027.605469,4.414607525,74.31507111,14.94042015
106,120.301003,33.498699,0,26.61124611,84.64881897,4.866949558,72.21928406,8.316573143,25.36695671,83.0661087,1013.750793,4.219817638,73.98136902,14.89089108
107,120.614998,33.362202,0,26.71290016,84.3539505,5.791604519,72.77490997,8.178748131,25.55626869,82.91265106,1040.534424,4.59463501,74.65716553,15.00701523
108,120.719002,33.283001,0,0,84.20713806,5.838148594,73.03082275,8.100691795,25.64468193,82.82595825,1054.06897,4.754650593,74.95425415,15.04727173
109,116.800003,34.587002,41,26.37233543,81.95070648,15.00788307,63.67033768,9.447557449,25.17658043,79.49304199,822.0875244,4.281898022,65.72232819,14.76209354
110,116.623001,34.6469,40,26.29595757,82.3637619,14.98743057,64.12364197,9.563468933,25.07474899,79.96057892,799.4786987,4.21447897,65.94237518,14.73183441
111,116.458,34.7057,43,26.25407028,82.55986786,14.99804306,64.27494049,9.623674393,25.0211792,80.17810822,787.614563,4.176543236,65.99897766,14.74121475
112,117.501999,34.346199,29,26.47637939,81.40782166,14.88350773,62.96154785,9.251718521,25.31091881,78.87651825,857.2692871,4.336001396,65.40594482,14.79842472
113,117.327004,34.406601,52,26.43095016,81.21020508,15.26411152,61.95988846,9.298994064,25.28209877,78.60992432,847.5117798,4.298156738,64.6709671,14.79346848
114,116.975998,34.5271,37,26.41819382,81.52053833,15.16015911,62.79717255,9.354587555,25.24956703,78.98458862,838.1676636,4.304656029,65.19724274,14.77783108
115,117.137001,34.456299,33,26.42329407,81.21147156,15.36782455,61.90044403,9.315659523,25.27478218,78.60822296,844.2340088,4.297636986,64.61563873,14.78600693
116,117.676003,34.285599,29,26.52786827,81.64963531,14.43302059,64.07217407,9.17926693,25.34388351,79.19477844,870.9327393,4.37384367,66.25410461,14.7751112
117,118.195999,34.102798,16,26.66754723,82.33930206,13.52650261,66.62071991,8.873729706,25.41964531,80.10170746,921.6094971,4.417557716,68.43151855,14.77097511
118,117.849999,34.2248,24,26.57748795,81.92326355,13.97483349,65.08984375,9.086929321,25.37009239,79.53642273,886.8170166,4.39671278,67.07361603,14.77488899
119,118.023003,34.163899,20,26.63633537,82.07988739,13.89126205,65.92523193,8.970984459,25.40752602,79.7917099,905.765686,4.417006016,67.80702972,14.80472755
120,118.539002,33.980202,14,26.71291542,82.8976059,12.37252712,68.04753113,8.672775269,25.44018745,80.81980133,956.6419067,4.421787739,69.84134674,14.80116558
121,118.709999,33.918701,9,26.72321892,83.07590485,11.94691563,68.46031189,8.618860245,25.4431324,81.03701019,966.197998,4.420637131,70.24375916,14.77066231
122,118.367996,34.041599,17,26.69864082,82.68052673,12.76647663,67.55078888,8.741141319,25.43550682,80.56070709,944.6304932,4.421826839,69.3640213,14.80037594
123,119.051003,33.795299,13,26.73879433,83.37227631,10.71261883,69.3384552,8.530303955,25.46220589,81.44643402,983.9102173,4.443864346,71.1311264,14.8076601
124,119.220001,33.733398,6,26.80983162,83.4462204,10.11742496,70.04262543,8.41286087,25.54112434,81.63948059,1006.20636,4.538807392,71.91461945,14.82075882
125,118.880997,33.857101,9,26.73212814,83.23791504,11.38465309,68.90824127,8.5701828,25.45236397,81.25306702,975.8295898,4.432056904,70.69491577,14.77349186
126,119.389,33.671398,4,26.80369568,83.59404755,9.170824051,70.48422241,8.388792038,25.53869247,81.85083771,1010.769653,4.530374527,72.35218048,14.83315277
127,119.557999,33.6092,3,26.78190994,83.77239227,8.165884972,70.91910553,8.371914864,25.52267265,82.08740997,1013.682861,4.498560429,72.7735672,14.86925697
128,119.892998,33.484501,1,26.72657585,84.26014709,6.278279781,71.8065033,8.3180933,25.45954895,82.67050171,1018.503113,4.397564411,73.64906311,14.86059952
129,119.725998,33.546902,1,26.75295639,84.07495117,7.023346901,71.50020599,8.311086655,25.49632454,82.45178223,1019.431946,4.46220541,73.37751007,14.88051891
130,120.059998,33.421902,3,26.68018532,84.37437439,5.764623642,72.20233154,8.28306675,25.46656799,82.82876587,1023.970947,4.411045551,74.03240967,14.93958569
131,120.557999,33.233601,5,26.7422657,84.37856293,5.768517017,73.25080872,8.173487663,25.59342384,83.04304504,1050.016968,4.689965248,75.12913513,15.03977203
132,120.391998,33.296501,-1,26.72171974,84.40943909,5.657569408,73.00801849,8.210381508,25.54914093,83.02345276,1042.578003,4.596611977,74.85633087,14.98998737
133,120.225998,33.359299,1,26.69983864,84.41619873,5.580060959,72.61049652,8.242729187,25.50068092,82.94652557,1032.856079,4.486722946,74.43865204,14.97973728
134,120.813003,33.0881,0,26.71290588,84.1282196,5.96473074,73.35660553,8.03422451,25.72266388,82.81628418,1065.984497,4.91166544,75.3400116,15.28310394
135,120.714996,33.167,0,26.70340729,84.23236847,5.798841476,73.33644104,8.095582008,25.66711235,82.91688538,1059.876099,4.813482285,75.26166534,15.12614441
136,116.309998,34.421101,46,26.10085487,82.99518585,15.29662228,64.00415802,9.806518555,24.83546066,80.66117096,747.1342163,4.002118587,65.67060852,14.79496479
137,116.198998,34.478901,49,26.13984299,82.9058609,15.22460651,64.09985352,9.771203041,24.87745857,80.55782318,755.7247925,4.044970989,65.75739288,14.7821722
138,116.376999,34.5546,52,26.14524841,82.87043762,15.21123695,64.09162903,9.756966591,24.88908768,80.5212326,758.4689331,4.053780556,65.76586151,14.76769447
139,116.551003,34.500301,51,26.20699883,82.65648651,15.13213921,64.08816528,9.682580948,24.96384811,80.28434753,774.4598999,4.118369579,65.81872559,14.7759552
140,116.903999,34.381199,47,26.4147644,81.42314148,15.24745178,62.54299545,9.361863136,25.25119019,78.87220764,837.4213867,4.305025578,65.00692749,14.81680298
141,116.236,34.556599,0,0,0,0,0,0,0,0,0,0,0,0
142,116.727997,34.440899,46,26.34141159,82.04512024,15.06212807,63.68618774,9.499361992,25.13860893,79.59898376,812.111145,4.252122402,65.6802597,14.81161499
143,117.429001,34.201302,44,26.46988106,81.28201294,15.03182888,62.69729996,9.269259453,25.31738663,78.73680115,854.8222046,4.342271328,65.19511414,14.85043335
144,117.079002,34.3214,37,26.40620041,81.04492188,15.54664516,61.21826172,9.317121506,25.26965904,78.39380646,843.0366211,4.275219917,64.14672089,14.83561611
145,116.476997,34.360802,42,26.16782379,82.78868103,15.18844795,64.09465027,9.733350754,24.91625786,80.43075562,763.8057251,4.07764101,65.78042603,14.84640026
146,117.254997,34.261398,29,26.41329384,81.05229187,15.52006435,61.31890106,9.31141758,25.27559471,78.40827942,844.2751465,4.282291889,64.21974945,14.85626793
147,116.832001,34.235199,41,26.43139458,81.46949768,15.1514492,63.01071548,9.370622635,25.26467323,78.95059967,837.6235352,4.331562996,65.29373932,14.88781738
148,116.660004,34.295502,42,26.33759308,82.10814667,15.02030659,63.95165253,9.522619247,25.13341713,79.67948914,808.9381714,4.258423805,65.824646,14.84351158
149,117.530998,33.9963,27,26.60188484,81.40132141,14.74482822,64.53081512,9.184103966,25.42708397,79.00157166,874.1463623,4.489332676,66.53533173,14.96036243
150,117.357002,34.056301,32,26.52168655,81.22154236,15.08056164,63.25746536,9.26085186,25.36380768,78.72059631,858.2146606,4.40356636,65.54708862,14.92064381
151,117.008003,34.175701,37,26.43460846,81.15070343,15.36635017,62.04310608,9.31973362,25.29185486,78.55917358,845.0665283,4.319406986,64.68113708,14.90673351
152,117.777,34.080601,27,26.59641075,81.79434204,14.06801796,65.15365601,9.10521698,25.40323257,79.43251801,887.1431274,4.449915409,67.12060547,14.85944653
153,117.182999,34.1161,29,26.45222282,81.11961365,15.34086895,62.1582489,9.301540375,25.3103466,78.53610992,848.4009399,4.332286835,64.76900482,14.90005684
154,117.602997,34.140999,27,26.54032516,81.5456543,14.50551224,64.09965515,9.191731453,25.36621284,79.10343933,870.8084106,4.405312061,66.25683594,14.85544491
155,117.949997,34.020001,27,26.66045761,81.95833588,13.99121571,66.03288269,8.988099098,25.44847107,79.70844269,907.597229,4.489022255,67.92442322,14.83376884
156,118.122002,33.959202,27,26.69219971,82.24095917,13.631464,66.76368713,8.887879372,25.46530724,80.05266571,925.2315063,4.504401207,68.61586761,14.86643124
157,118.222,33.755001,20,26.74965858,82.56121063,13.08929062,67.89865112,8.752727509,25.5271492,80.54182434,955.6661377,4.602893829,69.82580566,14.92628384
158,118.293999,33.8983,21,26.7246685,82.59634399,12.91395855,67.686203,8.755929947,25.48243332,80.52778625,948.9870605,4.516540051,69.56258392,14.86310863
159,117.704002,33.936199,28,26.6311264,81.70610046,14.07011986,65.50949097,9.101730347,25.44752693,79.38831329,891.0569458,4.510975361,67.3772049,14.91606712
160,118.637001,33.776199,11,26.74677277,83.0582962,12.14714718,68.69249725,8.622244835,25.49681664,81.08420563,974.9018555,4.537878036,70.57356262,14.86581612
161,117.876999,33.8759,21,26.66627502,81.86839294,14.05482578,66.25492096,8.988731384,25.48932076,79.65937805,911.1199341,4.552536011,68.11914063,14.92393208
162,118.466003,33.837299,16,26.737463,82.84482574,12.55274487,68.23048401,8.682907104,25.49114227,80.82614136,963.1549072,4.529489994,70.10758972,14.86375046
163,118.806999,33.714802,12,26.7555275,83.23233032,11.62282276,69.12409973,8.569248199,25.50426865,81.30626678,984.9832153,4.547281265,71.00902557,14.86876297
164,118.050003,33.815498,22,26.72116661,82.17433929,13.73122501,66.97829437,8.886001587,25.50894928,80.03406525,930.4020386,4.580718517,68.8506012,14.96003819
165,118.976997,33.6534,15,26.81223106,83.26963806,11.1412735,69.7126236,8.475370407,25.56197739,81.42722321,1002.177429,4.607924461,71.60980225,14.88674641
166,118.564003,33.6334,15,26.76313019,83.12805939,12.422966,68.91769409,8.61101532,25.53060722,81.19501495,984.2116089,4.618588924,70.87709808,14.96268749
167,118.734001,33.572399,19,26.81776237,83.2230072,12.17628002,69.51368713,8.50894928,25.58674812,81.36501312,1004.053833,4.684351444,71.49888611,14.93172646
168,118.392998,33.694302,16,26.75842285,82.8638382,12.78366947,68.44662476,8.676074982,25.53039169,80.89078522,971.2063599,4.613873959,70.3924942,14.92807198
169,119.315002,33.530102,3,26.84297943,83.48635101,9.439026833,70.52352905,8.374359131,25.59337234,81.77182007,1017.413757,4.636770248,72.45307922,14.9289341
170,119.147003,33.591801,9,26.83795547,83.39195251,10.37568378,70.13509369,8.40580368,25.58807755,81.62060547,1013.0849,4.637219906,72.07740021,14.9156599
171,118.903999,33.511299,15,26.82499886,83.32598877,11.57337856,69.83227539,8.46969986,25.59371376,81.50894165,1010.369019,4.691576004,71.81439209,14.98569202
172,119.241997,33.388699,4,26.87417221,83.40218353,9.640127182,70.55157471,8.354420662,25.64313889,81.70638275,1024.111572,4.733966351,72.54127502,14.99024391
173,119.819,33.3442,2,26.83695221,83.96572876,6.755207539,72.04071045,8.232465744,25.59613609,82.45800018,1035.661255,4.641076088,73.94422913,14.96383095
174,119.986,33.282002,2,26.81455231,84.13941956,6.289067745,72.51313782,8.235708237,25.58088684,82.70877838,1039.27002,4.634281158,74.38838196,14.95018482
175,119.072998,33.4501,4,26.86347961,83.31010437,11.12308598,70.20328522,8.40127182,25.63168335,81.56768799,1020.378845,4.722955704,72.1916275,14.99811554
