OBJECTID,lon,lat,DEM,最湿温度,最湿湿度,最干温度,最干湿度,气温较差,暖季温度,暖季湿度,年平均雨,冷季温度,冷季湿度,年平均气,type
20,115.7789993,31.3491001,547,27.27589989,81.64170074,9.654000282,72.50830078,8.976579666,25.9654007,80.18199921,1306.160034,6.151199818,75.33280182,16.08720398,1
21,118.13,30.3,180,19.35169983,89.63960266,4.133580208,60.07640076,6.588920116,18.62400055,87.88729858,2094.300049,1.584730029,72.65260315,14.71603012,1
22,115.78,29.59,159,23.42510033,82.32420349,5.039509773,66.5923996,6.799049854,23.58279991,80.39520264,1791.089966,4.892560005,75.72820282,16.17030525,1
23,115.785877,29.599068,157,23.44829941,82.31420135,4.992109776,66.53749847,6.779729843,23.56340027,80.4036026,1791.72998,4.874700069,75.70310211,16.17030525,1
24,109.48,29.99,495,12.3732996,83.55940247,20.26420021,75.92009735,8.012069702,25.18020058,78.54090118,1364.689941,7.669939995,79.01550293,16.43916893,1
25,109.65,30.016667,1361,12.76049995,83.21549988,19.27910042,75.57170105,8.056679726,25.17370033,78.43569946,1356.219971,7.646780014,78.48339844,16.40347862,1
26,110.03,29.9,574,17.69930077,81.82039642,12.67700005,74.88559723,8.309579849,25.09729958,78.71579742,1337.280029,7.437839985,76.77780151,16.30360794,1
27,110.1,29.833333,816,18.57189941,81.54329681,11.21030045,74.94339752,8.309720039,25.12940025,78.78250122,1347.380005,7.370379925,76.64759827,16.25407028,1
28,107.287105,29.685946,376,16.41090012,84.54660034,23.92849922,75.43319702,7.018189907,25.81360054,78.13369751,1131.339966,9.313070297,79.7161026,17.23538399,1
29,110.85,26.43,294,15.27439976,82.64160156,19.4423008,73.84580231,7.531589985,26.24629974,77.05699921,1434.949951,8.172320366,81.0664978,17.27165604,1
30,118.0029984,30.5526009,201,23.32460022,84.89569855,12.05550003,67.64440155,7.623370171,23.10810089,83.29779816,1662.079956,4.338180065,74.68209839,15.08396053,1
31,116.2860031,29.7756004,19,24.46710014,80.8391037,6.794879913,68.82489777,6.953810215,25.34530067,78.26239777,1658.52002,6.133619785,75.76450348,15.8336544,1
32,111.1330032,30.7803993,345,26.67910004,79.96369934,10.73910046,72.63559723,8.055999756,25.98620033,77.93270111,1159.319946,7.726830006,73.18930054,16.42351913,1
33,109.2979965,30.8721008,938,15.83920002,77.77950287,11.28999996,69.51210022,7.499229908,25.26110077,73.71829987,1190.839966,7.874579906,71.80130005,16.48213196,1
34,113.58,28.72,91,25.19759941,81.99970245,28.37350082,77.99250031,9.112850189,26.53409958,79.3309021,1524.359985,7.566810131,81.66439819,17.10660553,1
35,108.0579987,27.8414001,472,17.97450066,80.09210205,25.4083004,74.19740295,7.307260036,25.6651001,75.0326004,1127.01001,8.477919579,76.04599762,16.27693748,1
36,107.9,26.9,797,10.41390038,81.22899628,21.32250023,76.34400177,7.794929981,24.09860039,77.78749847,1153.089966,7.584280014,79.22789764,16.00354195,1
37,116.8399963,31.4750004,35,27.19449997,81.97480011,11.62080002,71.29440308,8.448949814,26.00309944,80.59780121,1197.140015,5.962080002,74.05269623,16.04104233,1
38,108.5319977,32.0421982,708,18.77009964,79.97309875,9.787540436,68.11289978,8.784350395,24.18429947,77.76879883,1193.290039,7.344120026,69.71070099,16.03098869,1
39,108.67,31.95,879,18.2140007,80.17669678,10.88529968,68.77200317,8.636949539,24.51189995,77.48300171,1169.22998,7.533770084,70.63870239,16.087677,1
40,115.98,29.68,31,25.04509926,80.06529999,6.053410053,68.71829987,6.645679951,25.62590027,77.62640381,1614.930054,6.245110035,75.45880127,16.10868645,1
41,118.7799988,28.6014996,566,24.48320007,81.14659882,23.82850075,73.53469849,8.680839539,26.93040085,76.85590363,1701.109985,8.424209595,78.03160095,17.62203598,1
42,108.4919968,29.1993999,936,18.90940094,83.21659851,20.47340012,76.1434021,7.491769791,25.33919907,78.41130066,1243.959961,8.316729546,78.26650238,16.65857315,1
43,119.6419983,30.1576996,276,24.53709984,81.41359711,11.49730015,72.77709961,8.079509735,26.37779999,78.95410156,1452.280029,6.664629936,76.27890015,16.27257538,1
44,120.8700027,29.4102001,266,23.92499924,81.66120148,8.307780266,73.51750183,8.440739632,26.78930092,78.80400085,1374.099976,7.452340126,75.91239929,17.23521614,1
45,119.8479996,29.3122997,182,25.15180016,79.05319977,23.88430023,71.78649902,8.240530014,27.41300011,74.8585968,1471.380005,8.091420174,76.10389709,17.4305191,1
46,110.7959976,31.2961998,816,21.86730003,78.72940063,8.304829597,69.49669647,8.667770386,25.44580078,76.74970245,1061.109985,7.510529995,70.47640228,16.17143631,1
47,110.2839966,30.3736992,803,20.49440002,80.84829712,11.54109955,72.64800262,8.80809021,24.75399971,78.12509918,1263.810059,7.318500042,74.1937027,16.3255825,1
48,119.1460037,27.7345009,783,24.56279945,81.87519836,23.38129997,74.69799805,9.358590126,26.8803997,78.29589844,1636.410034,9.394720078,78.53700256,18.1199379,1
49,115.76666,27.58027,86,14.9144001,83.38259888,24.43540001,74.23149872,7.873030186,27.53639984,77.29199982,1689.150024,8.623149872,81.77610016,18.05687904,1
50,106.9850006,29.1595993,781,16.98150063,84.23139954,25.02619934,75.19419861,6.889070034,25.66419983,77.56839752,1104.839966,9.337459564,79.60279846,17.18710518,1
51,110.39,28.45,99,24.69449997,81.99949646,7.510990143,72.01860046,7.983749866,26.19790077,77.34149933,1385.01001,7.666069984,75.01580048,16.69158554,1
52,108.23,27.51,586,17.50060081,81.29190063,21.12969971,75.69819641,7.553750038,25.00189972,77.03109741,1138.23999,7.910109997,77.84850311,16.23978043,1
53,119.7539978,31.6986008,6,27.24469948,82.3368988,15.98079967,73.83360291,7.995369911,26.41950035,81.41149902,1160.939941,5.911369801,76.24949646,16.04074097,1
54,119.72,30.23,41,24.62450027,81.23860168,10.85709953,72.78780365,8.021400452,26.4822998,78.87719727,1439.709961,6.709670067,76.15090179,16.33031464,1
55,118.7710037,30.0942993,611,23.41690063,83.37149811,13.45590019,70.82620239,8.190239906,24.66900063,80.82119751,1661.449951,5.6667099,76.27929688,15.58606529,1
56,116.9000015,29.2821999,79,24.68950081,80.83370209,14.83850002,72.14579773,8.010950089,27.1135006,76.36119843,1746.819946,7.884910107,77.62010193,16.57296562,1
57,117.7710037,28.5471001,220,21.44249916,81.16210175,24.01040077,72.79340363,8.20388031,27.16729927,76.05940247,1804.48999,8.20331955,78.56569672,17.53741837,1
58,106.4,29.8,240,17.47130013,85.0164032,27.03750038,74.13379669,6.48251009,26.59110069,77.13420105,1087.589966,10.32339954,80.27619934,17.60650063,1
59,109.56,28.07,570,23.84079933,81.71109772,13.1243,75.65000153,7.956729889,25.86240005,78.23719788,1312.780029,7.837600231,77.93910217,16.59507179,1
60,113.9960022,26.4283009,1387,10.91079998,86.71369934,16.43379974,77.82859802,8.421019554,24.54700089,82.88259888,1744.319946,7.397520065,85.67919922,17.31655121,1
61,109.1880035,27.4155998,623,22.77109909,81.18800354,20.00329971,75.56009674,7.94659996,25.72669983,77.33439636,1224.380005,7.893380165,77.49700165,16.58514977,1
62,121.17,31.9,8,26.7227993,82.98539734,6.63368988,72.7542038,7.271679878,26.42210007,81.43160248,1133.910034,6.109220028,75.74819946,16.07948112,1
63,120.1949997,30.8773003,4,26.66880035,81.27010345,8.453089714,73.9681015,7.255109787,26.78660011,80.07150269,1235.02002,6.51429987,76.42420197,16.47271538,1
64,110.67,31.75,965,23.91489983,80.28170013,5.924119949,69.19339752,9.87059021,24.40379906,79.07949829,899.2470093,6.027309895,70.02400208,15.84397507,1
65,104.2809982,30.5494003,668,19.65049934,84.89389801,19.88940048,73.43099976,7.174680233,23.69790077,82.80799866,958.3510132,8.274459839,79.62599945,15.89532471,1
66,108.24,29.33,759,18.20359993,83.96029663,26.9890995,76.00700378,7.388740063,26.03310013,77.69740295,1208.01001,9.283840179,78.02210236,16.79986763,1
67,108.246038,29.330856,819,18.20359993,83.94589996,26.87240028,76.01000214,7.390880108,26.02070045,77.70950317,1208.650024,9.265339851,78.0306015,16.79986763,1
68,104.1,26.22,1961,13.37390041,83.34660339,13.55589962,65.99980164,9.493929863,19.18720055,80.6289978,1032.189941,7.831580162,71.30259705,13.81501579,1
69,102.69,25.02,1893,20.20070076,81.00109863,14.10599995,56.00099945,10.09379959,19.46910095,80.00080109,979.1939697,11.30109978,60.67179871,16.82365227,1
70,101.2460022,24.2091007,1728,21.29260063,82.92019653,17.81500053,59.78279877,11.74349976,22.82150078,81.51360321,1140.930054,14.49600029,65.98290253,18.47389412,1
71,117.0719986,30.2126007,218,24.9829998,82.50029755,10.88879967,69.47740173,7.850679874,24.96279907,80.2457962,1607.290039,5.825940132,75.22689819,15.31432438,1
72,117.9459991,29.4727993,400,23.56430054,82.27690125,17.32789993,72.29859924,8.380559921,25.44599915,79.2397995,1785.23999,6.584640026,77.48490143,15.98884106,1
73,114.0839996,30.2595005,21,27.34840012,78.59960175,7.018179893,73.96959686,7.628089905,27.19280052,77.07119751,1361.300049,7.393489838,76.85410309,17.09573364,1
74,103.5839996,31.1340008,2075,16.81080055,84.37830353,18.92429924,71.8015976,7.062560081,22.80719948,81.44909668,1068.959961,7.332109928,78.853302,12.75636864,1
75,110.7539978,29.6401997,468,22.34770012,80.88569641,9.048830032,73.97090149,8.329330444,25.44050026,78.66919708,1341.849976,7.359479904,75.85009766,16.46683502,1
76,107.79,30,313,15.00570011,83.88890076,22.23180008,75.20970154,7.377689838,25.79299927,77.97080231,1187.339966,8.923299789,78.90429688,17.07762909,1
77,109.85,29,256,20.37579918,82.1210022,10.84809971,75.9233017,8.079750061,25.42550087,79.16819763,1372.089966,7.477240086,77.86430359,16.37507057,1
78,107.61,29.35,1277,17.22509956,83.77300262,24.27829933,75.85359955,7.266009808,25.62120056,77.8022995,1185.52002,8.897529602,78.81459808,16.99873924,1
79,102.572998,30.1189995,1996,15.37240028,80.53980255,5.48431015,62.07310104,9.481300354,17.98069954,78.95890045,946.4780273,4.352330208,64.91400146,11.54142952,1
80,108.5,28.56,324,20.95899963,81.83750153,14.24619961,75.75160217,7.568079948,24.69930077,78.47820282,1251.800049,7.378660202,77.72799683,16.26268005,1
81,110.63,26.72,314,17.26099968,82.29740143,17.83729935,74.95149994,7.799180031,26.18400002,77.45220184,1385.349976,8.142510414,80.36949921,17.2121563,1
82,100.75,26.68,2142,19.53700066,80.09130096,14.21809959,41.93069839,12.25020027,20.94280052,78.85639954,972.7659912,11.88210011,46.97180176,15.85320759,1
83,111.1989975,32.5029984,270,25.53129959,80.21929932,5.610410213,69.01049805,9.420450211,25.06340027,79.15409851,850.2750244,6.190110207,69.86309814,15.74957275,1
84,118.9369965,29.3901005,352,24.5387001,81.13539886,12.45549965,72.13739777,8.153779984,26.66650009,76.80750275,1564.329956,7.384130001,76.36419678,16.64625549,1
85,109.62,31.37,253,17.41239929,77.56349945,9.572310448,68.81939697,7.829090118,25.20319939,74.1765976,1140.680054,7.73115015,70.68209839,16.1840477,1
86,112.5319977,30.5018005,29,27.65710068,80.55280304,6.760320187,73.16750336,7.690460205,26.39480019,78.79060364,1129.329956,7.194729805,75.34750366,16.87337303,1
87,111.27,30.7,23,27.67860031,80.0007019,11.28600025,72.99410248,7.919300079,26.16279984,78.00019836,1161.160034,7.830619812,73.33380127,16.46792221,1
88,108.18,30.02,841,14.9946003,83.44339752,21.30739975,75.25409698,7.564819813,25.77210045,77.95670319,1232.619995,8.704219818,78.3660965,17.05987549,1
89,106.3889999,29.6811008,320,18.25060081,85.00650024,27.92560005,74.04779816,6.373429775,26.80270004,76.57859802,1101.869995,10.49289989,80.31529999,17.61970711,1
90,104.01,28.67,1383,12.76819992,84.20709991,15.87030029,71.36499786,7.500520229,22.04019928,81.68789673,1010.130005,7.7395401,76.32060242,14.56375885,1
91,110.9800034,26.7884007,471,16.92379951,82.66999817,20.00379944,73.67749786,7.548910141,26.27300072,77.13770294,1447.829956,8.021559715,80.81890106,17.20975685,1
92,103.13,28.33,1943,14.27340031,82.51190186,11.26080036,65.40010071,9.182430267,19.65690041,80.99299622,978.9790039,6.504720211,68.72489929,13.34944725,1
93,117.7990036,33.7243996,23,26.7397995,81.74829865,14.08320045,66.56269836,8.998869896,25.55240059,79.57740021,916.3150024,4.664130211,68.37149811,15.0459137,1
94,120.6900024,32.2807007,4,27.05389977,83.17240143,6.735479832,72.79540253,7.641469955,26.27169991,81.81439972,1112.810059,5.801469803,75.53119659,15.69388103,1
95,119.1330032,31.0548992,37,26.07110023,82.23829651,17.69989967,73.87000275,8.37485981,26.13080025,81.09660339,1314.25,5.985919952,76.84300232,15.9438982,1
96,103.85,31.68,1580,16.23740005,80.23059845,11.46319962,63.65200043,9.824580193,20.1072998,78.38539886,898.8519897,5.190830231,68.68029785,11.89008713,1
97,111.02,29.69,154,24.39920044,80.08789825,7.962500095,73.13680267,8.049360275,25.83460045,78.19110107,1330.680054,7.464739799,75.34570313,16.58486938,1
98,115.6149979,28.0869999,26,11.94639969,82.98090363,29.42410088,73.95639801,7.519740105,28.00939941,76.67289734,1712,8.392370224,81.59420013,17.74233818,1
99,113.0770035,28.1727009,35,5.937349796,84.89749908,29.34930038,75.96009827,7.803199768,27.38990021,78.3125,1472.069946,7.830580235,84.24320221,17.10209465,1
100,103.08,29.25,591,13.91479969,84.9272995,6.237440109,68.16269684,8.07763958,18.26079941,83.22080231,1182.72998,4.696630001,71.17839813,12.83272648,1
101,111.45,27.23,247,18.74119949,83.0161972,22.70369911,73.53269958,7.542779922,26.32029915,77.54669952,1483.459961,7.60751009,81.48300171,16.97620964,1
102,108.85,27.69,414,22.18400002,80.81159973,20.80850029,74.99069977,7.845419884,25.7887001,76.74659729,1212.819946,8.047249794,76.88960266,16.56922913,1
103,101.56752,21.475834,633,24.89970016,86.99990082,20.59989929,74.99949646,11.19999981,24.73320007,86.66649628,1513,18.39979935,78.332901,20.403759,1
104,119.57,34.2,3,26.66349983,83.77490234,9.569250107,69.2901001,8.443329811,25.30459976,81.72119904,973.9349976,4.090010166,70.85700226,14.59960842,1
105,119.1989975,32.4042015,15,27.25559998,82.27400208,12.00969982,71.457901,8.231249809,26.04129982,80.99040222,1076.579956,5.316239834,73.62200165,15.61026001,1
106,105.97,32.32,546,20.81889915,76.78420258,12.69740009,63.04700089,8.31317997,24.43149948,75.76010132,943.0219727,8.349410057,64.80490112,15.42224789,1
107,119.8460007,28.5699997,250,25.65800095,78.61209869,27.6371994,72.02359772,9.160059929,27.61569977,74.59079742,1430.97998,9.292539597,75.27149963,17.95594025,1
108,115.1999969,25.8162003,287,14.03110027,80.66159821,28.26580048,70.63950348,7.989230156,27.85379982,73.09279633,1474.550049,10.52210045,78.45649719,18.66453743,1
109,115.65,24.95,307,25.5991993,83,10.70100021,72.00009918,9.22492981,26.30010033,79.66639709,1605.699951,11.69979954,79.00019836,18.89006424,1
110,108.25,27.93,580,18.30220032,79.00559998,27.28750038,73.00610352,7.23390007,26.23080063,73.67430115,1118.599976,8.931010246,74.67369843,16.39831352,1
111,120.2099991,33.7014008,0,26.50959969,84.96070099,3.844330072,71.9960022,8.416060448,25.21509933,83.29769897,994.2390137,3.928489923,73.67220306,14.78196907,0
112,119.9860001,33.2820015,2,26.81459999,84.13939667,6.289070129,72.51309967,8.235710144,25.58090019,82.70880127,1039.27002,4.634280205,74.38839722,14.95018482,0
113,117.4860001,32.6609001,193,27.13969994,81.2664032,14.49629974,69.00550079,8.625080109,25.98789978,79.62709808,996.4439697,5.316239834,71.46559906,15.62771893,0
114,116.5299988,30.9673004,434,26.82299995,82.35399628,9.395330429,70.70339966,8.482769966,25.67480087,80.92449951,1324.73999,5.935800076,74.19999695,15.45638847,0
115,118.2460022,30.0790997,1026,18.31609917,90.69480133,2.292850018,58.28730011,6.337379932,17.58690071,88.94290161,2189.959961,0.938832998,72.13159943,14.83764076,0
116,119.4599991,29.0184002,83,25.22139931,78.81700134,26.30330086,71.38739777,8.188739777,27.37389946,74.41049957,1481.550049,8.098340034,76.09230042,17.29137039,0
117,107.0960007,32.3147011,1018,17.37689972,81.76319885,17.12540054,69.92549896,8.143199921,25.04680061,77.65229797,1111.47998,8.530579567,73.53959656,16.34201622,0
118,120.6039963,28.3024006,302,24.81699944,84.10410309,13.06260014,71.0789032,7.418149948,27.22730064,79.69409943,1613.780029,9.523349762,75.99479675,17.99262619,0
119,118.2470016,28.7702007,136,25.13750076,81.02279663,28.53420067,74.86299896,8.569049835,27.35239983,76.06999969,1813.869995,8.334589958,79.24369812,17.35512924,0
120,108.0299988,31.4141006,800,16.04229927,82.65930176,15.27439976,72.22380066,7.950669765,25.36779976,77.83599854,1196,8.544599533,75.27459717,16.68011093,0
121,113.4720001,29.5365009,107,25.47750092,79.86789703,10.26189995,74.22370148,7.09250021,27.03989983,77.86630249,1373.160034,7.653810024,78.2766037,17.21539497,0
122,106.0960007,30.9738998,336,9.819239616,84.58529663,21.75049973,73.52200317,6.879179955,25.65909958,79.15650177,1006.669983,9.286250114,80.03330231,17.19517899,0
123,110.9440002,30.0328007,819,23.91220093,81.03990173,9.662460327,73.03910065,8.961500168,24.65040016,78.91549683,1291.709961,7.069980145,74.48400116,16.42559814,0
124,111.3509979,28.9188004,80,25.14970016,80.39440155,7.725790024,74.85009766,7.552070141,26.48800087,78.27330017,1408.869995,7.608709812,77.7940979,16.83380127,0
125,111.8799973,28.7856998,47,24.86359978,80.45040131,9.980810165,74.69920349,7.230370045,26.81509972,78.10179901,1392.030029,7.704339981,78.47190094,17.13743401,0
126,108.9660034,28.6396999,722,21.76239967,82.02639771,10.53549957,75.95939636,7.646490097,24.44829941,79.25559998,1294.540039,7.040090084,77.98410034,16.35563469,0
127,108.7539978,26.4883995,759,17.47019958,82.56330109,13.85569954,77.43979645,8.059020042,24.63750076,79.94129944,1174.939941,8.085630417,79.76280212,16.59306335,0
128,107.9020004,25.3146992,846,19.51320076,82.93800354,12.93999958,75.77490234,7.914760113,23.77129936,80.62049866,1217.699951,8.91133976,79.41770172,17.20132828,0
129,101.4000015,24.7059994,1279,21.06609917,81.94680023,17.66740036,56.65729904,11.76900005,22.54019928,80.5963974,1048.569946,14.0230999,62.93859863,18.29555893,0
130,102.7850037,33.8931999,3434,8.206069946,77.62789917,-7.809380054,54.06219864,14.1583004,10.52659988,76.67639923,668.539978,-4.831999779,57.20389938,3.843668222,0
131,103.1610031,32.9458008,3544,10.17889977,76.49250031,-4.675519943,53.98960114,14.17199993,12.40209961,75.6065979,722.3969727,-2.260740042,57.06679916,5.667850018,0
132,101.6839981,32.8605995,3830,9.804320335,76.00689697,-3.616519928,53.96910095,14.65299988,11.73840046,75.99490356,711.3519897,-3.187580109,55.64559937,4.174611568,0
133,100.7639999,32.4877014,3637,8.908309937,75.61759949,-7.069210052,50.24229813,15.26299953,10.67570019,74.81479645,672.4169922,-4.225989819,52.22779846,3.853936911,0
134,101.6460037,30.9374008,3933,14.8348999,72.2661972,1.807809949,46.09339905,14.05319977,15.9343996,71.39070129,688.9749756,2.905179977,48.22890091,8.933678627,0
135,100.4489975,30.0778999,4146,11.03310013,75.64510345,-4.041019917,40.25180054,13.58419991,10.82569981,74.08249664,747.2930298,-1.812899947,43.98139954,7.632415295,0
136,101.6169968,29.8924999,4223,13.35760021,79.76609802,0.380461991,57.63700104,10.57089996,15.15040016,78.25340271,855.8729858,1.95073998,59.80310059,8.992687225,0
137,100.473999,29.1977005,4352,12.20349979,75.94439697,-3.015789986,38.49750137,14.69769955,12.1157999,74.63549805,671.1450195,-0.732847989,41.44449997,8.081401825,0
138,100.1819992,28.7159996,4657,13.74720001,75.94439697,-0.424358994,40.51330185,14.00870037,13.65690041,74.54709625,687.6220093,1.339210033,43.5605011,9.07695961,0
139,99.3752975,28.6567001,3231,19.82419968,67.71839905,7.555659771,36.87099838,13.4282999,19.75009918,64.37190247,399.9760132,7.903450012,38.39709854,10.21779156,0
140,101.9290009,27.5765991,2534,18.32390022,78.03050232,13.06480026,43.11650085,11.53590012,19.48279953,77.10540009,924.5289917,10.16399956,46.73160172,14.79236603,0
141,101.4199982,26.9598007,1438,20.4647007,78.44390106,16.52400017,39.73659897,12.44719982,22.02300072,77.25009918,940.3029785,13.03680038,45.70759964,16.03554726,0
142,100.1060028,26.1044998,2979,19.46120071,82.41639709,13.0855999,49.45100021,11.35219955,19.80450058,81.35489655,1017.109985,10.92469978,52.88339996,15.73908424,0
143,102.5940018,32.348999,4279,10.7972002,77.37039948,-3.808599949,53.08160019,14.65470028,12.7670002,76.35279846,746.4299927,-1.409759998,55.59030151,6.430085659,0
144,102.9889984,32.277401,4252,11.63469982,76.56970215,-2.091609955,53.2820015,13.99479961,13.78149986,75.54889679,750.7739868,-0.407674015,56.19829941,7.239604473,0
145,103.5770035,32.1679993,3369,12.94180012,76.21829987,1.353430033,55.04169846,12.83349991,15.59850025,75.11660004,772.0230103,1.240290046,58.77410126,9.726224899,0
146,100.1620026,32.5723991,4516,8.151599884,75.88089752,-8.278969765,50.4280014,15.31120014,9.970370293,74.98670197,665.5319824,-5.191830158,52.42290115,3.215170622,0
147,102.1169968,32.0831985,4014,12.88529968,76.62799835,-0.767037988,46.00550079,15.58320045,14.74849987,75.41809845,767.7890015,2.148250103,48.13069916,6.750238895,0
148,98.0674973,32.5442009,4598,7.494840145,72.41960144,-8.642700195,42.89569855,14.52289963,9.397509575,71.43849945,587.4299927,-5.497129917,44.44060135,3.539731979,0
149,99.0457993,32.2262001,3881,10.87349987,73.10939789,-4.119679928,40.09410095,14.93630028,12.33040047,72.24199677,631.6430054,-1.214439988,42.48540115,4.147036552,0
150,100.4499969,32.0105019,4422,9.069869995,75.2365036,-7.439330101,49.30369949,15.30729961,10.52190018,74.39800262,662.2550049,-4.361169815,51.23070145,4.520529747,0
151,98.9079971,31.5401001,4826,11.79179955,72.85399628,-2.481329918,36.4844017,14.94929981,13.26049995,71.91500092,624.0570068,0.323552012,39.25770187,6.120753288,0
152,100.8970032,31.2357006,3521,12.92459965,72.25569916,-0.200625002,43.44530106,15.66819954,14.33920002,71.68370056,640.2210083,1.227920055,45.4978981,6.896708488,0
153,101.6169968,27.9736996,4029,18.22769928,77.2838974,10.80760002,39.32600021,12.04160023,18.57089996,76.63009644,881.7349854,9.560810089,41.99420166,13.36833,0
154,104.2969971,32.5531998,1866,13.34519958,76.64880371,3.053040028,56.73020172,12.19299984,16.64669991,75.37449646,797.8079834,1.952039957,60.36489868,10.21067047,0
155,99.2381973,30.0823994,4799,18.37210083,68.64289856,3.99248004,30.19389915,15.42990017,18.03510094,67.61270142,515.5859985,6.88944006,32.00600052,9.271328926,0
156,100.6100006,29.8777008,4594,11.98419952,75.38110352,-2.680190086,41.03689957,13.68610001,12.03649998,73.96019745,727.7249756,-0.559675992,44.35810089,7.756963253,0
157,101.0350037,29.9862995,3504,13.56550026,75.53299713,-0.232442006,45.29550171,13.32089996,14.20189953,74.34809875,737.2990112,1.539469957,47.75939941,8.423556328,0
158,99.6391983,27.9179993,3508,13.6274004,78.94940186,-1.01109004,57.18249893,12.73089981,13.33769989,77.92340088,671.9869995,0.478502005,60.59209824,10.39201546,0
159,98.408699,33.203701,4343,6.274459839,72.35240173,-10.37150002,44.59949875,14.41090012,8.316180229,71.38140106,579.3699951,-7.10999012,45.83779907,2.058521509,0
160,102,32.4543991,3718,10.76599979,76.6760025,-3.459909916,51.95569992,14.84710026,12.6960001,75.90660095,731.4509888,-1.499799967,54.17770004,5.496643543,0
161,99.814003,31.934,4598,11.7723999,72.83309937,-4.802840233,44.87960052,14.93529987,12.22929955,72.22470093,649.5170288,-1.714169979,46.62549973,4.720072746,0
162,100.9860001,28.7695007,3698,15.0625,77.62090302,3.601310015,43.31269836,13.1420002,15.26550007,76.79669952,819.492981,4.038400173,45.76240158,9.935777664,0
163,102.4100037,28.0205994,2858,18.34700012,76.94110107,14.26360035,46.93529892,10.91650009,20.77980042,75.80709839,1009.539978,11.06449986,50.94070053,14.13578129,0
164,101.1640015,32.4216003,3641,10.30819988,75.44049835,-4.714700222,50.06840134,15.01259995,11.98989964,74.76930237,693.2609863,-2.377830029,52.06290054,4.65193224,0
165,99.5986023,29.8542995,4282,15.06089973,72.30970001,0.615180016,36.45439911,14.55760002,14.9708004,71.021698,608.367981,2.979589939,39.08509827,8.372345924,0
166,99.6815033,27.0366001,2261,17.57180023,80.61789703,6.689650059,51.32369995,11.74510002,17.81539917,79.64240265,957.401001,7.011419773,55.62540054,13.29677868,0
